7bitconf,7bitConf,7bitConf::7bitConf
oatpp-swagger,oatpp-swagger,oatpp::oatpp-swagger
oatpp-websocket,oatpp-websocket,oatpp::oatpp-websocket
observer-ptr-lite,observer-ptr-lite,nonstd::observer-ptr-lite
octo-encryption-cpp,octo-encryption-cpp,octo::octo-encryption-cpp
octo-keygen-cpp,octo-keygen-cpp,octo::octo-keygen-cpp
octo-logger-cpp,octo-logger-cpp,octo::octo-logger-cpp
octo-wildcardmatching-cpp,octo-wildcardmatching-cpp,octo::octo-wildcardmatching-cpp
octomap,octomap,
odbc,ODBC,ODBC::ODBC
ode,ode,ODE::ODE
ogg,Ogg,Ogg::ogg
ogre,OGRE,
onedpl,ParallelSTL,pstl::ParallelSTL
onetbb,TBB,TBB::TBB
oniguruma,oniguruma,oniguruma::onig
onnx,ONNX,
onnxruntime,onnxruntime,onnxruntime::onnxruntime
open-dis-cpp,OpenDIS,
open-simulation-interface,open_simulation_interface,open_simulation_interface::open_simulation_interface
openal,OpenAL,OpenAL::OpenAL
openal-soft,OpenAL,OpenAL::OpenAL
openassetio,OpenAssetIO,OpenAssetIO::OpenAssetIO
openblas,OpenBLAS,OpenBLAS::OpenBLAS
opencascade,OpenCASCADE,
opencl-clhpp-headers,OpenCLHeadersCpp,
opencl-headers,OpenCLHeaders,
opencl-icd-loader,OpenCLICDLoader,OpenCL::OpenCL
opencolorio,OpenColorIO,OpenColorIO::OpenColorIO
opencore-amr,opencore-amr,
opencv,OpenCV,
openddl-parser,openddlparser,openddlparser::openddlparser
opendis6,OpenDIS,OpenDIS::OpenDIS6
openexr,OpenEXR,
openfst,OpenFst,OpenFst::OpenFst
openfx,openfx,openfx::openfx
opengl,opengl_system,
opengv,opengv,opengv
openimageio,OpenImageIO,
openjpeg,OpenJPEG,openjp2
openjph,openjph,openjph::openjph
openmesh,OpenMesh,
openmpi,MPI,
openmvg,OpenMVG,
openscenegraph,OpenSceneGraph,
openssl,OpenSSL,
opensubdiv,OpenSubdiv,
opentdf-client,opentdf-client,opentdf-client::opentdf-client
opentracing-cpp,OpenTracing,OpenTracing::OpenTracing
openvdb,OpenVDB,OpenVDB::openvdb
openvino,OpenVINO,
openxlsx,OpenXLSX,OpenXLSX::OpenXLSX
optimlib,OptimLib,OptimLib::OptimLib
optional-lite,optional-lite,nonstd::optional-lite
opus,Opus,Opus::opus
orcania,Orcania,
osqp,osqp,osqp::osqp
ouster_sdk,OusterSDK,OusterSDK::OusterSDK
pagmo2,pagmo,Pagmo::pagmo
paho-mqtt-c,eclipse-paho-mqtt-c,
